CID,CityName/AreaName,Pincode,District,State,Locality,Location,Latitude,Longitude,distance(in kms)
101530,Aynavaram,600023,Chennai,TAMIL NADU,"Aynavaram,600023,Chennai,TAMIL NADU","600023, Ayanavaram, Chennai, Tamil Nadu",13.098163614310947,80.23377843721929,19.462951938156504
101531,Kodambakkam,600024,Chennai,TAMIL NADU,"Kodambakkam,600024,Chennai,TAMIL NADU","600024, Kodambakkam, Chennai, Tamil Nadu",13.051728117646135,80.22304798672862,14.549796293668388
101532,Engineering College (Chennai),600025,Chennai,TAMIL NADU,"Engineering College (Chennai),600025,Chennai,TAMIL NADU",Engineering College Hostel,13.058730000000025,80.23581000000007,15.100062519582831
101533,Vadapalani,600026,Chennai,TAMIL NADU,"Vadapalani,600026,Chennai,TAMIL NADU","600026, Vadapalani, Chennai, Tamil Nadu",13.051844749937079,80.21101234614635,14.884977231213988
101534,Raja Annamalaipuram,600028,Chennai,TAMIL NADU,"Raja Annamalaipuram,600028,Chennai,TAMIL NADU","600028, Raja Annamalai Puram, Chennai, Tamil Nadu",13.022034452679245,80.26046046044074,11.00801951466941
101535,Ramakrishna Nagar (Chennai),600028,Chennai,TAMIL NADU,"Ramakrishna Nagar (Chennai),600028,Chennai,TAMIL NADU","Ramakrishna Nagar, Raja Annamalai Puram, Chennai, Tamil Nadu",13.023650000000032,80.26358000000005,11.223483429288976
101536,Aminjikarai,600030,Chennai,TAMIL NADU,"Aminjikarai,600030,Chennai,TAMIL NADU",600030,13.075515000000053,80.22670125000008,17.069331780260008
101537,Shenoy Nagar,600030,Chennai,TAMIL NADU,"Shenoy Nagar,600030,Chennai,TAMIL NADU","600030, Shenoy Nagar, Chennai, Tamil Nadu",13.076968432267824,80.2269315001562,17.224549982921737
101538,Chetput,600031,Chennai,TAMIL NADU,"Chetput,600031,Chennai,TAMIL NADU","600031, Chetpet, Chennai, Tamil Nadu",13.072114185269786,80.24186391858832,16.52272113740079
101539,World University Centre,600031,Chennai,TAMIL NADU,"World University Centre,600031,Chennai,TAMIL NADU",World University Service Centre,13.073040000000049,80.25236000000007,16.59937631147061
101540,Ekkaduthangal,600032,Chennai,TAMIL NADU,"Ekkaduthangal,600032,Chennai,TAMIL NADU","600032, Ekkaduthangal, Chennai, Tamil Nadu",13.022084220505976,80.20271231804337,12.127912577231717
101541,Guindy Industrial Estate,600032,Chennai,TAMIL NADU,"Guindy Industrial Estate,600032,Chennai,TAMIL NADU","Guindy Industrial Estate Road, Guindy, Chennai, Tamil Nadu, 600032",13.010174760686404,80.20938672597464,10.627631775670151
101542,Mambalam R.S.,600033,Chennai,TAMIL NADU,"Mambalam R.S.,600033,Chennai,TAMIL NADU",West Mambalam,13.031620000000032,80.22224000000006,12.402374715803676
101543,West Mambalam,600033,Chennai,TAMIL NADU,"West Mambalam,600033,Chennai,TAMIL NADU","600033, West Mambalam, Chennai, Tamil Nadu",13.036531724432358,80.22222540619934,12.929899069835539
101544,Loyola College,600034,Chennai,TAMIL NADU,"Loyola College,600034,Chennai,TAMIL NADU",Loyola College,13.063810000000046,80.23513000000008,15.666725049828003
