CID,CityName/AreaName,Pincode,District,State,Latitude,Longitude,distance(in kms)
102045,Tirumani,603111,Kanchipuram,TAMIL NADU,12.695292472839355,79.8957290649414,48.18411395202386
102046,Venpakkam,603111,Kanchipuram,TAMIL NADU,12.695292472839355,79.8957290649414,48.18411395202386
102047,Kovalam (Kanchipuram),603112,Kanchipuram,TAMIL NADU,12.826387405395508,80.24713897705078,13.789637331984977
102048,Muttukadu,603112,Kanchipuram,TAMIL NADU,12.826387405395508,80.24713897705078,13.789637331984977
102049,Thiruvidanthai,603112,Kanchipuram,TAMIL NADU,12.826387405395508,80.24713897705078,13.789637331984977
102050,Anupuram,603127,Kanchipuram,TAMIL NADU,13.338040351867676,78.19211578369139,227.7466651954024
102051,Elapakkam,603201,Kanchipuram,TAMIL NADU,12.655601501464846,79.90430450439453,50.17609878042418
102052,Kattukaranai,603201,Kanchipuram,TAMIL NADU,12.655601501464846,79.90430450439453,50.17609878042418
102053,Madhur,603201,Kanchipuram,TAMIL NADU,12.655601501464846,79.90430450439453,50.17609878042418
102054,Padiri,603201,Kanchipuram,TAMIL NADU,12.655601501464846,79.90430450439453,50.17609878042418
102055,Ramapuram,603201,Kanchipuram,TAMIL NADU,12.655601501464846,79.90430450439453,50.17609878042418
102056,Guduvanchery,603202,Kanchipuram,TAMIL NADU,12.844141960144045,80.05430603027344,24.788998475938328
102057,Kannivakkam,603202,Kanchipuram,TAMIL NADU,12.844141960144045,80.05430603027344,24.788998475938328
102058,Karanaipuduchery,603202,Kanchipuram,TAMIL NADU,12.844141960144045,80.05430603027344,24.788998475938328
102059,Madambakkam,603202,Kanchipuram,TAMIL NADU,12.844141960144045,80.05430603027344,24.788998475938328
102060,Kayarambedu,603202,Kanchipuram,TAMIL NADU,12.844141960144045,80.05430603027344,24.788998475938328
102061,Kattankolathur,603203,Kanchipuram,TAMIL NADU,12.815274238586426,80.0389175415039,27.851789388144944
102062,Kavanur,603203,Kanchipuram,TAMIL NADU,12.815274238586426,80.0389175415039,27.851789388144944
102063,Ninnakarai,603203,Kanchipuram,TAMIL NADU,12.815274238586426,80.0389175415039,27.851789388144944
102064,Anjur,603204,Kanchipuram,TAMIL NADU,12.768665313720705,80.0097885131836,33.39844400672994
102065,Appur,603204,Kanchipuram,TAMIL NADU,12.768665313720705,80.0097885131836,33.39844400672994
102066,Chettipunniam,603204,Kanchipuram,TAMIL NADU,12.768665313720705,80.0097885131836,33.39844400672994
